Code,Domain,Theme,Sub-theme,Competency activity
CORE-01-01,Core humanitarian WASH competencies,"Standards, quality, and duty of care",,"Explain relevant standards (e.g., Sphere Standards, CHS, national standards, donor requirements) and organizational procedures, and describe how they apply to your role and context"
CORE-01-02,Core humanitarian WASH competencies,"Standards, quality, and duty of care",,"Apply relevant standards and minimum requirements when designing, supporting, and implementing WASH activities"
CORE-01-03,Core humanitarian WASH competencies,"Standards, quality, and duty of care",,"Monitor and review WASH activities against standards, identify quality gaps, and take appropriate corrective action, including documenting and communicating issues"
CORE-02-01,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,Explain WASH and how it links to the Sustainable Development Goals (SDGs) and describe WASH's role in achieving broader development outcomes
CORE-02-02,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Describe common WASH-related diseases and transmission pathways relevant to the context (e.g. fecal-oral, water-washed, water-based, vector-borne)"
CORE-02-03,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Explain how WASH interventions reduce disease transmission and environmental health risks including linking transmission pathways to interventions at household and community level (e.g., using the F-diagram)"
CORE-02-04,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Identify key microbiological hazards, environmental and behavioral risk factors linked to water supply, sanitation, and hygiene that may increase disease transmission, including environmental and climate related risks associated and specific vulnerabilities of marginalized and at-risk populations"
CORE-02-05,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Explain how gender roles, social dynamics, and cultural practices influence hygiene behaviors and health risks"
CORE-02-06,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Describe core epidemiological concepts relevant to WASH programming (e.g., outbreak vs. endemic, exposure, risk, incidence/prevalence, high-risk groups)"
CORE-02-07,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Describe the concept of water security and integrated water resource management (IWRM), and explain how WASH links to health, nutrition, food security, livelihoods, the environment, and climate"
CORE-02-08,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Describe the relationship between climate, environmental degradation, and WASH service delivery in humanitarian contexts, and support the integration of climate-resilient practices into program design and implementation"
CORE-02-09,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,Apply organizational guidance to minimize the environmental footprint of WASH activities
CORE-02-10,Core humanitarian WASH competencies,Public health and environmental health foundations for WASH,,"Describe basic concepts of WASH governance, sustainability, and systems thinking, including service delivery models, cost recovery, and local ownership"
